Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,K.Open,K.High,K.Low,K.Close,K.Volume,K.Adjusted,after.covid,after.war
01/09/2020,132.759995,137.979996,103.099998,115.809998,3885245100,114.06501,70.440002,71.650002,60.84,64.589996,53733900,59.122459,YES,NO
01/10/2020,117.639999,125.389999,107.720001,108.860001,2894666500,107.219742,64.720001,67.870003,62.560001,62.889999,35161800,57.56636,YES,NO
01/11/2020,109.110001,121.989998,107.32,119.050003,2123077300,117.256203,63.759998,67.019997,62.099998,63.91,39157400,58.500023,YES,NO
01/12/2020,121.010002,138.789993,120.010002,132.690002,2322189600,130.916122,63.709999,63.970001,60.639999,62.23,46989300,57.478344,YES,NO
01/01/2021,133.520004,145.089996,126.379997,131.960007,2240262000,130.195908,62.02,63.419998,57.040001,58.939999,69216300,54.439556,YES,NO
01/02/2021,133.75,137.880005,118.389999,121.260002,1833855600,119.638962,58.939999,60.099998,56.610001,57.709999,73157400,53.303467,YES,NO
01/03/2021,123.75,128.720001,116.209999,122.150002,2650418200,120.697144,57.200001,65.32,56.75,63.299999,77035500,58.46664,YES,NO
01/04/2021,123.660004,137.070007,122.489998,131.460007,1889857500,129.896423,63.209999,64.93,61.849998,62.419998,51426900,58.228962,YES,NO
01/05/2021,132.039993,134.070007,122.25,124.610001,1711934900,123.127892,62.439999,68.599998,61.880001,65.489998,60978000,61.092827,YES,NO
01/06/2021,125.080002,137.410004,123.129997,136.960007,1606590000,135.560883,65.639999,67.07,62.700001,64.330002,47310500,60.546532,YES,NO
01/07/2021,136.600006,150,135.759995,145.860001,1919035100,144.369934,64.330002,65.599998,62.509998,63.360001,38612600,59.633575,YES,NO
01/08/2021,146.360001,153.490005,144.5,151.830002,1461542800,150.278961,63.41,67.07,62,63.139999,46943000,59.426514,YES,NO
01/09/2021,152.830002,157.259995,141.270004,141.5,1797835100,140.264328,63.200001,65.779999,61.700001,63.919998,42267000,60.718224,YES,NO
